Date,Open,High,Low,Volume,Close
24-01-2017,50,50.959999,49.93,24827500,50.922001
25-01-2017,51.462002,51.692001,50.360001,25713000,50.894001
26-01-2017,50.858002,51.147999,50.150002,15760500,50.501999
27-01-2017,50.276001,50.599998,49.703999,15831500,50.59
30-01-2017,50.506001,51.057999,49.419998,19005500,50.125999
31-01-2017,49.848,51.178001,49.540001,20580500,50.386002
01-02-2017,50.610001,50.639999,49.810001,19794000,49.848
02-02-2017,49.667999,50.484001,49.542,12499000,50.310001
03-02-2017,50.382,50.436001,49.936001,10933500,50.265999
06-02-2017,50.200001,51.563999,50.125999,17812500,51.554001
07-02-2017,51.638,52,51.284,21224000,51.495998
08-02-2017,51.470001,52.672001,51.240002,19665000,52.416
09-02-2017,53.25,54.236,53.23,39101000,53.84
10-02-2017,53.958,54.189999,53.222,18098500,53.846001
13-02-2017,54.147999,56.158001,54.102001,35148000,56.119999
14-02-2017,55.806,57.478001,55.722,36726000,56.195999
15-02-2017,56,56.448002,55.287998,24739500,55.952
16-02-2017,55.52,56,53.700001,35386500,53.790001
17-02-2017,53.16,54.577999,52.830002,31285500,54.445999
21-02-2017,55.09,56.279999,54.801998,28383500,55.478001
22-02-2017,56.062,56.689999,54.52,43775000,54.702
23-02-2017,52.799999,52.931999,51.112,74576000,51.198002
24-02-2017,50.532001,51.650002,50.040001,40858000,51.400002
27-02-2017,49.633999,49.672001,48.402,57304000,49.245998
28-02-2017,48.838001,50.200001,48.779999,30390500,49.998001
01-03-2017,50.835999,50.970001,49.821999,24047500,50.004002
02-03-2017,49.942001,50.655998,49.653999,16759000,50.096001
03-03-2017,50.147999,50.380001,49.799999,14597000,50.313999
06-03-2017,49.582001,50.34,49.501999,16777500,50.242001
07-03-2017,50.383999,50.778,49.664001,17297500,49.717999
08-03-2017,49.400002,50.014,49.063999,18626000,49.374001
09-03-2017,49.526001,49.731998,48.599998,19396500,48.98
10-03-2017,49.242001,49.299999,48.599998,15331500,48.737999
13-03-2017,48.964001,49.369999,48.556,15113000,49.234001
14-03-2017,49.222,51.624001,49.203999,37992000,51.599998
15-03-2017,51.400002,52.200001,50.854,26654000,51.146
16-03-2017,52.48,53.150002,51.812,35661000,52.41
17-03-2017,52.799999,53.066002,52.240002,32487500,52.299999
20-03-2017,52.119999,52.91,51.764,18071500,52.383999
21-03-2017,52.566002,52.959999,50.048,34543000,50.136002
22-03-2017,50.312,51.014,50.102001,20296500,51.001999
23-03-2017,51.077999,51.534,50.66,16601000,50.956001
24-03-2017,51.139999,52.778,51.001999,28236500,52.632
27-03-2017,52.119999,54.113998,51.950001,31154000,54.043999
28-03-2017,55.403999,56.136002,55,39938000,55.490002
29-03-2017,55.667999,55.919998,55.108002,18381000,55.476002
30-03-2017,55.608002,56.400002,55.442001,20742000,55.584
31-03-2017,55.745998,55.936001,55.264,16473000,55.66
03-04-2017,57.380001,59.799999,56.916,69443000,59.703999
04-04-2017,59.377998,60.962002,58.905998,50673000,60.740002
05-04-2017,60.408001,60.976002,58.84,39404500,59
06-04-2017,59.375999,60.388,58.82,27603000,59.740002
07-04-2017,59.5,60.537998,59.43,22898000,60.507999
10-04-2017,61.830002,62.745998,61.742001,38322500,62.478001
11-04-2017,62.675999,62.694,61.099998,28623000,61.742001
12-04-2017,61.268002,61.689999,59.264,30253500,59.368
13-04-2017,59.34,61.478001,59.060001,46423000,60.799999
17-04-2017,60.540001,60.799999,59.736,20693500,60.287998
18-04-2017,59.939999,60.167999,59.580002,15178500,60.049999
19-04-2017,60.492001,61.324001,60.422001,19490000,61.104
20-04-2017,61.301998,61.830002,60.046001,30747000,60.501999
21-04-2017,60.400002,61.279999,60.084,22549000,61.119999
24-04-2017,61.844002,62.110001,61.203999,25417500,61.605999
25-04-2017,61.599998,62.796001,61.172001,33688500,62.757999
26-04-2017,62.473999,62.900002,61.799999,23475000,62.034
27-04-2017,62.338001,62.618,61.5,17343000,61.726002
28-04-2017,61.966,62.959999,61.599998,22527500,62.813999
01-05-2017,62.976002,65.449997,62.962002,44148000,64.566002
02-05-2017,64.800003,65.531998,63.312,26914000,63.778
03-05-2017,63.534,64.306,62.09,35667000,62.203999
04-05-2017,61.487999,61.554001,58.152,70760000,59.091999
05-05-2017,59.599998,61.709999,59.360001,40886500,61.669998
08-05-2017,62.18,62.757999,61.164001,35032500,61.438
09-05-2017,61.875999,64.398003,61.82,48382500,64.251999
10-05-2017,64.311996,65.099998,63.624001,28708000,65.043999
11-05-2017,64.68,65.199997,63.919998,23769000,64.620003
12-05-2017,65.096001,65.400002,64.306,20608000,64.961998
15-05-2017,63.675999,64.040001,62.506001,38110000,63.175999
16-05-2017,63.518002,64.012001,63.028,20762500,63.402
17-05-2017,62.877998,62.925999,61.099998,33559500,61.222
18-05-2017,61.400002,62.787998,61.062,28269000,62.612
19-05-2017,63.099998,63.299999,62.040001,23438000,62.166
22-05-2017,62.560001,62.874001,61.360001,21646000,62.07
23-05-2017,62.091999,62.146,60.695999,21592000,60.771999
24-05-2017,61.301998,62.200001,61.080002,25166500,62.043999
25-05-2017,62.203999,63.394001,61.562,25070000,63.366001
26-05-2017,63.456001,65.098,63.262001,39011000,65.028
30-05-2017,65.199997,67.255997,65.152,38914500,67.019997
31-05-2017,67.538002,68.578003,67.031998,49817000,68.202003
01-06-2017,68.800003,68.975998,67.458,38040000,68.073997
02-06-2017,67.954002,68.575996,67.185997,27951000,67.970001
05-06-2017,67.699997,69.688004,66.842003,33922000,69.463997
06-06-2017,68.940002,71.898003,67.994003,55434000,70.57
07-06-2017,71.267998,72.099998,71.028,46990000,71.93
08-06-2017,72.75,74.379997,72.043999,45307500,74
09-06-2017,74.884003,75.374001,70.959999,86307000,71.463997
12-06-2017,71.598,72.900002,70.124001,52588500,71.802002
13-06-2017,73.524002,75.199997,73.321999,59039500,75.190002
14-06-2017,76.218002,76.849998,75.262001,64092000,76.132004
15-06-2017,74.5,75.092003,73.297997,52132500,75.068001
16-06-2017,75.596001,75.601997,74.019997,33655000,74.279999
19-06-2017,75,75.339996,73.559998,32746500,73.959999
20-06-2017,75.334,75.776001,73.945999,37193500,74.447998
21-06-2017,74.870003,75.398003,73.603996,24616000,75.279999
22-06-2017,75.598,77,74.713997,37649000,76.522003
23-06-2017,76.489998,77.398003,75.870003,32229000,76.690002
26-06-2017,77.337997,77.389999,74.620003,33020500,75.498001
27-06-2017,75.279999,75.279999,72.403999,34982000,72.473999
28-06-2017,73.335999,74.348,72.503998,31512500,74.248001
29-06-2017,74.122002,74.199997,70.82,41105000,72.150002
30-06-2017,72.741997,73.353996,71.924004,29242500,72.321999
03-07-2017,74.047997,74.269997,70.300003,31527000,70.524002
05-07-2017,69.440002,69.447998,65.265999,85233500,65.417999
06-07-2017,63.452,64.157997,61.259998,96622500,61.765999
07-07-2017,62.700001,63.400002,61.476002,70884500,62.644001
10-07-2017,62.580002,63.588001,60.625999,69104500,63.209999
11-07-2017,63.200001,65.456001,62.860001,57797000,65.444
12-07-2017,66.080002,66.620003,64.900002,51730500,65.903999
13-07-2017,66.022003,66.32,63.993999,42972500,64.681999
14-07-2017,64.638,65.683998,64.244003,28126000,65.556
17-07-2017,65.108002,65.419998,62.689999,49384500,63.914001
18-07-2017,63.5,65.825996,63.132,31868500,65.648003
19-07-2017,65.646004,66.330002,64.643997,31785000,65.052002
20-07-2017,65.379997,66.043999,64.839996,25831000,65.984001
21-07-2017,65.891998,66.251999,65.160004,24508000,65.68
24-07-2017,66.047997,68.68,66.001999,43185500,68.503998
25-07-2017,69,69.120003,66.830002,34946000,67.919998
26-07-2017,68.071999,69.099998,67.624001,24104000,68.769997
27-07-2017,69.199997,69.5,65.258003,41512000,66.891998
28-07-2017,67.377998,67.919998,66.501999,24402000,67.014
31-07-2017,67.099998,68.297997,64.208,42675500,64.694
01-08-2017,64.599998,64.889999,63.226002,41515500,63.914001
02-08-2017,63.787998,65.424004,62.243999,65457500,65.178001
03-08-2017,69.066002,70,68.629997,67675000,69.417999
04-08-2017,69.400002,71.454002,68.660004,46344500,71.382004
07-08-2017,71.470001,71.896004,70.550003,31622500,71.033997
08-08-2017,71.505997,73.716003,71.480003,37249000,73.043999
09-08-2017,72.199997,74,71.790001,34460500,72.706001
